sentence,diction_label,source
Isinumite ang dokumento para sa pagsusuri ngayong araw..,Formal,constructed
Maaari po ba akong magtanong para sa gawain.?,Polite,constructed
Ipinatutupad ang bagong alituntunin ngayong araw..,Formal,constructed
"Gayunpaman, ipagpapatuloy ang proseso para sa susunod na gawain..",Formal,constructed
Pakikuha po ng tubig bago matapos ang araw..,Polite,constructed
Nanonood kami ng pelikula ayon sa plano..,Plain,constructed
Teka muna ngayong araw..,Plain,constructed
May dala akong bag pagkatapos ng pulong..,Plain,constructed
"Opo, naiintindihan ko po.",Polite,constructed
Pakidala po ito sa opisina bago matapos ang araw..,Polite,constructed
Pakidala po ito sa opisina.,Polite,constructed
Makisuyo po sa pinto ngayong araw..,Polite,constructed
Ipinatutupad ang bagong alituntunin pagkatapos ng pulong..,Formal,constructed
Pupunta ako sa tindahan ayon sa plano..,Plain,constructed
Pakiabot po nito sa itinakdang oras..,Polite,constructed
"Pakiusap po, sandali lamang sa araw na ito..",Polite,constructed
Pakiabot po nito para sa gawain..,Polite,constructed
Puwede po ba akong sumali ngayong araw.?,Polite,constructed
Umuwi sila kahapon.,Plain,constructed
Isinumite ang dokumento para sa pagsusuri.,Formal,constructed
Nasa bahay lang ako para sa gawain..,Plain,constructed
Pumunta siya sa palengke para sa gawain..,Plain,constructed
Puwede po ba akong sumali?,Polite,constructed
"Gayunpaman, ipagpapatuloy ang proseso bago magsimula..",Formal,constructed
Makisuyo po sa pinto bago magsimula..,Polite,constructed
Teka muna ayon sa plano..,Plain,constructed
Tinutukoy ng ulat ang pangunahing resulta ngayong araw..,Formal,constructed
Pupunta ako sa tindahan pagkatapos ng pulong..,Plain,constructed
Pakikuha po ng tubig para sa gawain..,Polite,constructed
Puwede po ba akong sumali ayon sa plano.?,Polite,constructed
Tinutukoy ng ulat ang pangunahing resulta.,Formal,constructed
Teka muna para sa susunod na gawain..,Plain,constructed
Ipinagkakaloob ang kinakailangang impormasyon ayon sa plano..,Formal,constructed
Nakasaad sa dokumento ang mga tuntunin bago matapos ang araw..,Formal,constructed
Ipinagkakaloob ang kinakailangang impormasyon para sa susunod na gawain..,Formal,constructed
Pakitingnan po ito bago matapos ang araw..,Polite,constructed
"Pakiusap po, sandali lamang para sa susunod na gawain..",Polite,constructed
Pakiabot po nito pagkatapos ng pulong..,Polite,constructed
Bibili ako ng pagkain pagkatapos ng pulong..,Plain,constructed
Tinutukoy ng ulat ang pangunahing resulta para sa gawain..,Formal,constructed
"Alinsunod dito, isinasagawa ang susunod na hakbang ngayong araw..",Formal,constructed
Pupunta kami bukas pagkatapos ng pulong..,Plain,constructed
Tatawag ako mamaya.,Plain,constructed
Makisuyo po sa pinto bago matapos ang araw..,Polite,constructed
Ipinababatid ang bagong iskedyul bago magsimula..,Formal,constructed
Bibili ako ng pagkain para sa susunod na gawain..,Plain,constructed
Umuwi sila kahapon bago magsimula..,Plain,constructed
Isinumite ang dokumento para sa pagsusuri bago matapos ang araw..,Formal,constructed
"Opo, naiintindihan ko po para sa gawain..",Polite,constructed
Ipinatutupad ang bagong alituntunin para sa susunod na gawain..,Formal,constructed
Ipinatutupad ang bagong alituntunin sa araw na ito..,Formal,constructed
May gagawin ako ngayon para sa gawain..,Plain,constructed
Isinumite ang dokumento para sa pagsusuri para sa susunod na gawain..,Formal,constructed
Hindi ko alam bago matapos ang araw..,Plain,constructed
Nanonood kami ng pelikula pagkatapos ng pulong..,Plain,constructed
Isinumite ang dokumento para sa pagsusuri sa araw na ito..,Formal,constructed
Kailangan ko ito ngayon para sa susunod na gawain..,Plain,constructed
May dala akong bag ayon sa plano..,Plain,constructed
Nagluluto si Ana ngayon para sa gawain..,Plain,constructed
Paumanhin po sa abala para sa gawain..,Polite,constructed
Bibili ako ng pagkain ayon sa plano..,Plain,constructed
May dala akong bag.,Plain,constructed
Pakihintay po sandali.,Polite,constructed
Sandali lang pagkatapos ng pulong..,Plain,constructed
Bibili ako ng pagkain para sa gawain..,Plain,constructed
"Samakatwid, kinakailangan ang karagdagang pagsusuri para sa gawain..",Formal,constructed
Hindi ko alam sa itinakdang oras..,Plain,constructed
Pakibukas po ang pinto para sa susunod na gawain..,Polite,constructed
Isinasaalang-alang ang lahat ng detalye.,Formal,constructed
Nanonood kami ng pelikula ngayong araw..,Plain,constructed
Pupunta ako sa tindahan.,Plain,constructed
Tinanggap ang kumpletong aplikasyon para sa susunod na gawain..,Formal,constructed
Isinagawa ang kinakailangang pagsusuri bago magsimula..,Formal,constructed
Pakisulat po ang pangalan pagkatapos ng pulong..,Polite,constructed
Pakibasa po ang mensahe bago magsimula..,Polite,constructed
Tinutukoy ng ulat ang pangunahing resulta bago magsimula..,Formal,constructed
Pakihintay po sandali sa araw na ito..,Polite,constructed
Kumain na ako ngayong araw..,Plain,constructed
Maaari itong gamitin sa proseso sa araw na ito..,Formal,constructed
Kailangan ko ito ngayon sa itinakdang oras..,Plain,constructed
Tatawag ako mamaya para sa gawain..,Plain,constructed
"Pakiusap po, tulungan ninyo ako bago matapos ang araw..",Polite,constructed
Pakitingnan po ito.,Polite,constructed
Sandali lang.,Plain,constructed
Ipinagbabawal ang pagpasok sa lugar.,Formal,constructed
Pakiabot po nito bago magsimula..,Polite,constructed
May gagawin ako ngayon pagkatapos ng pulong..,Plain,constructed
Pakisabi po sa kanya para sa gawain..,Polite,constructed
Pakitulong po sa akin ayon sa plano..,Polite,constructed
Kinakailangan ang wastong dokumento pagkatapos ng pulong..,Formal,constructed
Pakiabot po nito bago matapos ang araw..,Polite,constructed
Pakidala po ito sa opisina sa araw na ito..,Polite,constructed
Maaari po ba itong gamitin para sa gawain.?,Polite,constructed
Pinahihintulutan ang paggamit nito bago magsimula..,Formal,constructed
Maaari itong gamitin sa proseso.,Formal,constructed
Naghihintay ako dito bago matapos ang araw..,Plain,constructed
Naglalakad ako sa labas sa araw na ito..,Plain,constructed
Tinanggap ang kumpletong aplikasyon para sa gawain..,Formal,constructed
Nag-aaral ako ngayon sa araw na ito..,Plain,constructed
Nanonood kami ng pelikula para sa gawain..,Plain,constructed
Pakihintay po sandali ayon sa plano..,Polite,constructed
Bibili ako ng pagkain sa itinakdang oras..,Plain,constructed
Pakibasa po ang mensahe ayon sa plano..,Polite,constructed
"Alinsunod dito, isinasagawa ang susunod na hakbang para sa susunod na gawain..",Formal,constructed
"Alinsunod dito, isinasagawa ang susunod na hakbang ayon sa plano..",Formal,constructed
Hinggil sa usaping ito ang pulong ngayong araw..,Formal,constructed
Pakisara po ang bintana para sa susunod na gawain..,Polite,constructed
Pakiabot po nito para sa susunod na gawain..,Polite,constructed
Alinsunod sa patakaran ang proseso ayon sa plano..,Formal,constructed
Pakitulong po sa akin para sa susunod na gawain..,Polite,constructed
"Pakiusap po, tulungan ninyo ako ayon sa plano..",Polite,constructed
Maaari itong gamitin sa proseso para sa gawain..,Formal,constructed
"Samakatwid, kinakailangan ang karagdagang pagsusuri sa itinakdang oras..",Formal,constructed
Tatawag ako mamaya ayon sa plano..,Plain,constructed
Pakitingnan po ito ngayong araw..,Polite,constructed
Ipinababatid ang bagong iskedyul.,Formal,constructed
"Opo, naiintindihan ko po ayon sa plano..",Polite,constructed
Isinumite ang dokumento para sa pagsusuri ayon sa plano..,Formal,constructed
Pakidala po ito sa opisina pagkatapos ng pulong..,Polite,constructed
Ipinapahayag ang opisyal na resulta sa itinakdang oras..,Formal,constructed
Tatawag ako mamaya pagkatapos ng pulong..,Plain,constructed
May gagawin ako ngayon bago magsimula..,Plain,constructed
Pinahihintulutan ang paggamit nito ngayong araw..,Formal,constructed
Isinasaalang-alang ang lahat ng detalye ayon sa plano..,Formal,constructed
Pupunta kami bukas para sa susunod na gawain..,Plain,constructed
Maaari po ba itong gamitin ngayong araw.?,Polite,constructed
Pakitingnan po ito para sa gawain..,Polite,constructed
Maaari po ba itong gamitin sa araw na ito.?,Polite,constructed
Pakidala po ito sa opisina para sa gawain..,Polite,constructed
Pakisabi po sa kanya sa araw na ito..,Polite,constructed
Ipinababatid ang bagong iskedyul sa araw na ito..,Formal,constructed
Isinagawa ang kinakailangang pagsusuri pagkatapos ng pulong..,Formal,constructed
Isinumite ang dokumento para sa pagsusuri pagkatapos ng pulong..,Formal,constructed
Itinatakda ang bagong petsa pagkatapos ng pulong..,Formal,constructed
Naglalakad ako sa labas sa itinakdang oras..,Plain,constructed
Pakisara po ang bintana.,Polite,constructed
Uuwi ako mamaya pagkatapos ng pulong..,Plain,constructed
"Opo, naiintindihan ko po bago magsimula..",Polite,constructed
Naghihintay ako dito.,Plain,constructed
Kinakailangan ang wastong dokumento bago magsimula..,Formal,constructed
Teka muna.,Plain,constructed
Nagluluto si Ana ngayon bago matapos ang araw..,Plain,constructed
Isinagawa ang kinakailangang pagsusuri sa araw na ito..,Formal,constructed
Kailangan ko ito ngayon sa araw na ito..,Plain,constructed
Pakikuha po ng tubig sa itinakdang oras..,Polite,constructed
Paumanhin po sa abala bago magsimula..,Polite,constructed
Itinatakda ang bagong petsa sa araw na ito..,Formal,constructed
Pakibukas po ang pinto bago magsimula..,Polite,constructed
Pakidala po ito sa opisina sa itinakdang oras..,Polite,constructed
Tatawag ako mamaya sa araw na ito..,Plain,constructed
Pakihintay po sandali pagkatapos ng pulong..,Polite,constructed
Pupunta kami bukas ngayong araw..,Plain,constructed
Alinsunod sa patakaran ang proseso sa araw na ito..,Formal,constructed
Pakiabot po nito ngayong araw..,Polite,constructed
Ipinababatid ang bagong iskedyul para sa gawain..,Formal,constructed
Maaari itong gamitin sa proseso pagkatapos ng pulong..,Formal,constructed
Kumain na ako sa araw na ito..,Plain,constructed
Hinggil sa usaping ito ang pulong.,Formal,constructed
Pakikuha po ng tubig ayon sa plano..,Polite,constructed
Pinahihintulutan ang paggamit nito.,Formal,constructed
Salamat po sa tulong ayon sa plano..,Polite,constructed
Ipinapahayag ang opisyal na resulta bago matapos ang araw..,Formal,constructed
Pakikuha po ng tubig para sa susunod na gawain..,Polite,constructed
Isinagawa ang kinakailangang pagsusuri.,Formal,constructed
Naglalakad ako sa labas pagkatapos ng pulong..,Plain,constructed
Nag-aaral ako ngayon bago magsimula..,Plain,constructed
Pakisabi po sa kanya sa itinakdang oras..,Polite,constructed
"Alinsunod dito, isinasagawa ang susunod na hakbang sa itinakdang oras..",Formal,constructed
Isinasaalang-alang ang lahat ng detalye sa araw na ito..,Formal,constructed
Naglalakad ako sa labas bago matapos ang araw..,Plain,constructed
Umuwi sila kahapon ngayong araw..,Plain,constructed
Nanonood kami ng pelikula sa itinakdang oras..,Plain,constructed
Nasa bahay lang ako ngayong araw..,Plain,constructed
Nanonood kami ng pelikula bago matapos ang araw..,Plain,constructed
"Samakatwid, kinakailangan ang karagdagang pagsusuri pagkatapos ng pulong..",Formal,constructed
Nag-aaral ako ngayon ayon sa plano..,Plain,constructed
Hindi ko alam sa araw na ito..,Plain,constructed
Pakikuha po ng tubig bago magsimula..,Polite,constructed
Pakibukas po ang pinto ngayong araw..,Polite,constructed
Hindi ko alam.,Plain,constructed
"Pakiusap po, sandali lamang para sa gawain..",Polite,constructed
Makisuyo po sa pinto sa araw na ito..,Polite,constructed
"Pakiusap po, tulungan ninyo ako sa itinakdang oras..",Polite,constructed
Tinanggap ang kumpletong aplikasyon bago matapos ang araw..,Formal,constructed
Pumunta siya sa palengke para sa susunod na gawain..,Plain,constructed
"Opo, naiintindihan ko po sa itinakdang oras..",Polite,constructed
Ipinagbabawal ang pagpasok sa lugar bago magsimula..,Formal,constructed
Pakitingnan po ito ayon sa plano..,Polite,constructed
Naglalakad ako sa labas para sa gawain..,Plain,constructed
Pupunta ako sa tindahan para sa susunod na gawain..,Plain,constructed
Pakitingnan po ito bago magsimula..,Polite,constructed
Puwede po ba akong sumali bago magsimula.?,Polite,constructed
Pakitingnan po ito sa itinakdang oras..,Polite,constructed
Pupunta kami bukas.,Plain,constructed
Pupunta kami bukas sa araw na ito..,Plain,constructed
"Opo, naiintindihan ko po para sa susunod na gawain..",Polite,constructed
Hinggil sa usaping ito ang pulong bago matapos ang araw..,Formal,constructed
Pinahihintulutan ang paggamit nito ayon sa plano..,Formal,constructed
Kailangan ko ito ngayon.,Plain,constructed
Bibili ako ng pagkain sa araw na ito..,Plain,constructed
"Alinsunod dito, isinasagawa ang susunod na hakbang bago matapos ang araw..",Formal,constructed
Ipinagbabawal ang pagpasok sa lugar para sa gawain..,Formal,constructed
Nasa bahay lang ako.,Plain,constructed
Ipinatutupad ang bagong alituntunin para sa gawain..,Formal,constructed
"Gayunpaman, ipagpapatuloy ang proseso ngayong araw..",Formal,constructed
Pakibukas po ang pinto bago matapos ang araw..,Polite,constructed
Tinanggap ang kumpletong aplikasyon ngayong araw..,Formal,constructed
Pakibukas po ang pinto sa itinakdang oras..,Polite,constructed
"Pakiusap po, tulungan ninyo ako ngayong araw..",Polite,constructed
Nag-aaral ako ngayon ngayong araw..,Plain,constructed
Ipinagkakaloob ang kinakailangang impormasyon ngayong araw..,Formal,constructed
Pakisara po ang bintana ayon sa plano..,Polite,constructed
Pumunta siya sa palengke sa araw na ito..,Plain,constructed
Pakisabi po sa kanya ngayong araw..,Polite,constructed
Hindi ko alam ngayong araw..,Plain,constructed
Hindi ko alam pagkatapos ng pulong..,Plain,constructed
Salamat po sa tulong ngayong araw..,Polite,constructed
Tinutukoy ng ulat ang pangunahing resulta bago matapos ang araw..,Formal,constructed
May dala akong bag bago matapos ang araw..,Plain,constructed
Tinutukoy ng ulat ang pangunahing resulta sa itinakdang oras..,Formal,constructed
Salamat po sa tulong pagkatapos ng pulong..,Polite,constructed
Naglalakad ako sa labas para sa susunod na gawain..,Plain,constructed
Ipinababatid ang bagong iskedyul sa itinakdang oras..,Formal,constructed
"Gayunpaman, ipagpapatuloy ang proseso bago matapos ang araw..",Formal,constructed
Isinagawa ang kinakailangang pagsusuri sa itinakdang oras..,Formal,constructed
Naghihintay ako dito ayon sa plano..,Plain,constructed
"Pakiusap po, sandali lamang sa itinakdang oras..",Polite,constructed
Bibili ako ng pagkain bago matapos ang araw..,Plain,constructed
Maaari po ba itong gamitin bago matapos ang araw.?,Polite,constructed
Kumain na ako bago matapos ang araw..,Plain,constructed
Nanonood kami ng pelikula para sa susunod na gawain..,Plain,constructed
Nagluluto si Ana ngayon pagkatapos ng pulong..,Plain,constructed
Kinakailangan ang wastong dokumento sa itinakdang oras..,Formal,constructed
Maaari po ba akong magtanong pagkatapos ng pulong.?,Polite,constructed
Isinasaalang-alang ang lahat ng detalye para sa gawain..,Formal,constructed
Pakisulat po ang pangalan bago magsimula..,Polite,constructed
Nasa bahay lang ako sa itinakdang oras..,Plain,constructed
Pakidala po ito sa opisina para sa susunod na gawain..,Polite,constructed
Naglalakad ako sa labas ayon sa plano..,Plain,constructed
Alinsunod sa patakaran ang proseso ngayong araw..,Formal,constructed
"Samakatwid, kinakailangan ang karagdagang pagsusuri bago matapos ang araw..",Formal,constructed
Teka muna sa itinakdang oras..,Plain,constructed
Paumanhin po sa abala para sa susunod na gawain..,Polite,constructed
Ipinapahayag ang opisyal na resulta.,Formal,constructed
Kinakailangan ang wastong dokumento para sa gawain..,Formal,constructed
Maaari po ba itong gamitin?,Polite,constructed
Pakitulong po sa akin bago magsimula..,Polite,constructed
Pakibasa po ang mensahe pagkatapos ng pulong..,Polite,constructed
Pakikuha po ng tubig pagkatapos ng pulong..,Polite,constructed
Ipinagkakaloob ang kinakailangang impormasyon.,Formal,constructed
Bibili ako ng pagkain.,Plain,constructed
Salamat po sa tulong bago matapos ang araw..,Polite,constructed
Kailangan ko ito ngayon ngayong araw..,Plain,constructed
Teka muna bago magsimula..,Plain,constructed
Pakisulat po ang pangalan sa araw na ito..,Polite,constructed
Pakisara po ang bintana sa itinakdang oras..,Polite,constructed
Alinsunod sa patakaran ang proseso pagkatapos ng pulong..,Formal,constructed
Teka muna sa araw na ito..,Plain,constructed
Umuwi sila kahapon sa itinakdang oras..,Plain,constructed
Pakisara po ang bintana bago matapos ang araw..,Polite,constructed
Pakitulong po sa akin pagkatapos ng pulong..,Polite,constructed
Pakibukas po ang pinto ayon sa plano..,Polite,constructed
Isinasaalang-alang ang lahat ng detalye bago magsimula..,Formal,constructed
Salamat po sa tulong para sa gawain..,Polite,constructed
Pumunta siya sa palengke pagkatapos ng pulong..,Plain,constructed
Maaari po ba akong magtanong ayon sa plano.?,Polite,constructed
"Gayunpaman, ipagpapatuloy ang proseso sa itinakdang oras..",Formal,constructed
Itinatakda ang bagong petsa bago magsimula..,Formal,constructed
Sandali lang ngayong araw..,Plain,constructed
Isinagawa ang kinakailangang pagsusuri ngayong araw..,Formal,constructed
Maaari po ba itong gamitin sa itinakdang oras.?,Polite,constructed
Sandali lang para sa susunod na gawain..,Plain,constructed
Makisuyo po sa pinto pagkatapos ng pulong..,Polite,constructed
Nag-aaral ako ngayon pagkatapos ng pulong..,Plain,constructed
Itinatakda ang bagong petsa ayon sa plano..,Formal,constructed
Isinumite ang dokumento para sa pagsusuri bago magsimula..,Formal,constructed
Naghihintay ako dito pagkatapos ng pulong..,Plain,constructed
Maaari itong gamitin sa proseso ngayong araw..,Formal,constructed
Puwede po ba akong sumali pagkatapos ng pulong.?,Polite,constructed
"Pakiusap po, tulungan ninyo ako bago magsimula..",Polite,constructed
Tinanggap ang kumpletong aplikasyon sa itinakdang oras..,Formal,constructed
Nasa bahay lang ako bago magsimula..,Plain,constructed
Alinsunod sa patakaran ang proseso sa itinakdang oras..,Formal,constructed
Kailangan ko ito ngayon para sa gawain..,Plain,constructed
Nasa bahay lang ako pagkatapos ng pulong..,Plain,constructed
"Pakiusap po, sandali lamang ngayong araw..",Polite,constructed
Isinasaalang-alang ang lahat ng detalye ngayong araw..,Formal,constructed
Hindi ko alam para sa gawain..,Plain,constructed
Pakihintay po sandali bago magsimula..,Polite,constructed
"Pakiusap po, sandali lamang ayon sa plano..",Polite,constructed
Pakisulat po ang pangalan para sa gawain..,Polite,constructed
"Samakatwid, kinakailangan ang karagdagang pagsusuri ayon sa plano..",Formal,constructed
Kumain na ako bago magsimula..,Plain,constructed
Nasa bahay lang ako para sa susunod na gawain..,Plain,constructed
Pakibukas po ang pinto.,Polite,constructed
Pakisara po ang bintana bago magsimula..,Polite,constructed
Maaari po ba akong magtanong sa araw na ito.?,Polite,constructed
Isinumite ang dokumento para sa pagsusuri sa itinakdang oras..,Formal,constructed
"Samakatwid, kinakailangan ang karagdagang pagsusuri sa araw na ito..",Formal,constructed
"Gayunpaman, ipagpapatuloy ang proseso ayon sa plano..",Formal,constructed
"Alinsunod dito, isinasagawa ang susunod na hakbang para sa gawain..",Formal,constructed
Ipinapahayag ang opisyal na resulta bago magsimula..,Formal,constructed
Puwede po ba akong sumali para sa susunod na gawain.?,Polite,constructed
Pupunta kami bukas bago magsimula..,Plain,constructed
Kinakailangan ang wastong dokumento para sa susunod na gawain..,Formal,constructed
Pakisara po ang bintana ngayong araw..,Polite,constructed
Pakibukas po ang pinto pagkatapos ng pulong..,Polite,constructed
Nanonood kami ng pelikula sa araw na ito..,Plain,constructed
"Pakiusap po, sandali lamang.",Polite,constructed
Tatawag ako mamaya bago magsimula..,Plain,constructed
Ipinababatid ang bagong iskedyul pagkatapos ng pulong..,Formal,constructed
Pakisulat po ang pangalan para sa susunod na gawain..,Polite,constructed
Ipinagbabawal ang pagpasok sa lugar sa araw na ito..,Formal,constructed
Isinasaalang-alang ang lahat ng detalye pagkatapos ng pulong..,Formal,constructed
Makisuyo po sa pinto para sa susunod na gawain..,Polite,constructed
Ipinatutupad ang bagong alituntunin bago matapos ang araw..,Formal,constructed
Alinsunod sa patakaran ang proseso.,Formal,constructed
Maaari po ba akong magtanong para sa susunod na gawain.?,Polite,constructed
Maaari itong gamitin sa proseso para sa susunod na gawain..,Formal,constructed
Pakitulong po sa akin para sa gawain..,Polite,constructed
Maaari itong gamitin sa proseso sa itinakdang oras..,Formal,constructed
Alinsunod sa patakaran ang proseso para sa gawain..,Formal,constructed
Nakasaad sa dokumento ang mga tuntunin.,Formal,constructed
Nagluluto si Ana ngayon sa itinakdang oras..,Plain,constructed
Teka muna bago matapos ang araw..,Plain,constructed
Kinakailangan ang wastong dokumento ngayong araw..,Formal,constructed
Ipinagbabawal ang pagpasok sa lugar ayon sa plano..,Formal,constructed
Ipinapahayag ang opisyal na resulta sa araw na ito..,Formal,constructed
Pakisulat po ang pangalan bago matapos ang araw..,Polite,constructed
Pakitulong po sa akin sa itinakdang oras..,Polite,constructed
Umuwi sila kahapon pagkatapos ng pulong..,Plain,constructed
Alinsunod sa patakaran ang proseso para sa susunod na gawain..,Formal,constructed
Pakisulat po ang pangalan ngayong araw..,Polite,constructed
Maaari po ba akong magtanong sa itinakdang oras.?,Polite,constructed
Ipinapahayag ang opisyal na resulta pagkatapos ng pulong..,Formal,constructed
May gagawin ako ngayon bago matapos ang araw..,Plain,constructed
Salamat po sa tulong sa itinakdang oras..,Polite,constructed
Kailangan ko ito ngayon bago magsimula..,Plain,constructed
Itinatakda ang bagong petsa.,Formal,constructed
Hindi ko alam para sa susunod na gawain..,Plain,constructed
Pinahihintulutan ang paggamit nito bago matapos ang araw..,Formal,constructed
"Opo, naiintindihan ko po sa araw na ito..",Polite,constructed
Pakibasa po ang mensahe ngayong araw..,Polite,constructed
May dala akong bag sa itinakdang oras..,Plain,constructed
Pupunta ako sa tindahan bago magsimula..,Plain,constructed
Pinahihintulutan ang paggamit nito para sa gawain..,Formal,constructed
Paumanhin po sa abala bago matapos ang araw..,Polite,constructed
Pakihintay po sandali para sa susunod na gawain..,Polite,constructed
Pakihintay po sandali ngayong araw..,Polite,constructed
Ipinagbabawal ang pagpasok sa lugar bago matapos ang araw..,Formal,constructed
Hinggil sa usaping ito ang pulong sa araw na ito..,Formal,constructed
Maaari po ba itong gamitin pagkatapos ng pulong.?,Polite,constructed
Naghihintay ako dito bago magsimula..,Plain,constructed
Itinatakda ang bagong petsa para sa susunod na gawain..,Formal,constructed
"Pakiusap po, tulungan ninyo ako para sa gawain..",Polite,constructed
Tinanggap ang kumpletong aplikasyon pagkatapos ng pulong..,Formal,constructed
Nasa bahay lang ako sa araw na ito..,Plain,constructed
Naghihintay ako dito sa itinakdang oras..,Plain,constructed
Ipinagkakaloob ang kinakailangang impormasyon bago matapos ang araw..,Formal,constructed
Ipinagkakaloob ang kinakailangang impormasyon sa araw na ito..,Formal,constructed
Nanonood kami ng pelikula bago magsimula..,Plain,constructed
Nakasaad sa dokumento ang mga tuntunin para sa gawain..,Formal,constructed
May gagawin ako ngayon sa araw na ito..,Plain,constructed
Tatawag ako mamaya bago matapos ang araw..,Plain,constructed
Pupunta kami bukas ayon sa plano..,Plain,constructed
Pakisara po ang bintana para sa gawain..,Polite,constructed
Pupunta kami bukas para sa gawain..,Plain,constructed
