id,iso_639_3,text,topic
9,ceb,"Sa 11:20, ang pulis naghangyo sa mga nagprotesta nga mobalhin pagbalik sa sementadong dalan, ug nagsulti nga gikinahanglan nila balansehon ang katungod sa pagprotesta sa pagplastar sa trapiko.",politics
10,ilo,"Idi banda 11:29, napan idiay Whitehall ti protesta, banda iti Trafalgar Square, idiay Strand, nalabsan ti Aldwych ken ken Kingsway a mapan iti Holborn no ayan iti Partido Konserbatibo a naangay ti Spring Forum idiay Grand Connaught Rooms nga hotel.",politics
10,ceb,"Mga 11:29, ang protesta ningbalhin sa Whitehall, labay sa Trafalgar Square, subay sa Strand, nag-agi sa Aldwych ug pataas sa Kingsway padulong sa Holborn diin ang Konserbatibo nga Partido naghupot sa ilang Spring Forum sa Grand Connaught Rooms nga hotel.",politics
10,fil,"Bandang 11:29, umusad ang protesta sa Whitehall, lagpas ng Trafalgar Square, sa kahabaan ng Strand, dumaan sa Aldwych at paakyat ng Kingsway papuntang Holborn kung saan ginaganap ng Partidong Konserbatibo ang kanilang Forum sa Tagsibol sa otel na Grand Connaught Rooms.",politics
11,ilo,Ti rekord ni Nadal kontra iti Canadian ket 7-2.,sports
11,ceb,Ang tawo-por-tawo nga rekord ni Nadal batok sa taga-Canada kay 7-2.,sports
11,fil,Ang ulo-sa-ulong rekord ni Nadal laban sa taga-Canada ay 7-2.,sports
12,fil,Kakatalo niya lamang laban sa Raonic sa Pagbubukas ng Brisbane.,sports
12,ilo,Saan pay a nabayag idi naabak isuna kontra ken ni Raonic iti Brisbane Open.,sports
12,ceb,Bag-o lang siya napildi batok kang Raonic sa Brisbane Open.,sports
13,ceb,"Nasakmit ni Nadal ang 88% nga puntos sa sangka, nga nakadaog og 76 ka puntos sa una nga pag-serve.",sports
13,ilo,Naala ni Nadal ti 88% a puntos iti ay-ayam a nangabakanna ti 76 a puntos ti umuna a panag-serve.,sports
13,fil,Si Nadal ay nakakuha ng 88% ng mga puntos na nagawa malapit sa net sa laban nanalo ng 76 na puntos sa unang pag-serve.,sports
14,fil,"Matapos ang laban, sinabi ng Hari ng Clay, ""Nasasabik lang ako tungkol sa muli kong pagbabalik sa huling mga yugto ng pinakamahalagang mga laro. Narito ako upang subukang maipanalo ito.""",sports
14,ilo,"Kalpasan dayta a laban, kinuna ti Ari ti Tennis, “Magagaranak laeng a makasubli kadagiti pinal a rikus dagitoy a kapapatgan a laban. Ikarigatak a mangabakak ditoy.”",sports
14,ceb,"Pagkahuman sa bangga, miingon si King of Clay, ""Naghinamhinam lang ako nga makabalik sa katapusang mga hugna sa labing hinungdanong mga hinabo. Ania ako aron maningkamot nga makadaog niini.""",sports
15,ilo,"Ti “Panama Papers” ti awag para kadagiti mangbukel a pagaraup sangapulo milion a dokumento nga aggapu iti opisina ti abogado a taga-Panama a Mossack Fonseca, ti naiwaras kadagiti agipabpablaak idi primabera ti 2016.",crime
15,ceb,"Ang ""Mga Papeles sa Panama"" kay usa ka termino sa payong alang sa hapit napulo ka milyong mga dokumentong gikan sa law firm sa Panama nga Mossack Fonseca, nga gipagawas sa prensa kaniadtong tingpamulak sa 2016.",crime
15,fil,"Ang ""Mga Papeles ng Panama"" ay terminong sumasaklaw sa halos sampung milyong dokumentong nagmula sa kompanya ng mga abogado ng Panama na Mossack Fonseca, na nakalabas sa press noong tagsibol ng 2016.",crime
16,ceb,Ang mga dokumento nagpakita nga katorse ka mga banko ang mitabang sa mga datong kliyente nga itago ang bilyones nga dolyar sa US nga katigayonan aron makalikay sa mga tax ug uban pang mga regulasyon.,crime
16,ilo,Impakita dagiti dokumento a sangapulo-ket-uppat a banko ti timmulong kadagiti babaknang a kliente a mangilemmeng iti kinabaknangda nga agpateg iti binilion a doliar ti US tapno maliklikanda dagiti buis ken dadduma pay a regulasion.,crime
16,fil,Inilahad ng kasulatan ang labing-apat na bangkong tumulong sa mga nakaririwasang kliyente na itago bilyon-bilyong dolyar na kayamanang para takasan ang pagbabayad ng mga buwis at ibang mga regulasyon.,crime
17,fil,Iminungkahi ng diyaryong Briton na The Guardian na kinontrol ng Deutsche Bank ang humigit-kumulang ikatlong bahagi ng 1200 shell company na ginamit upang isakatuparan ito.,crime
17,ceb,Ang British nga dyaryo nga The Guardian kay nag-ingon nga gikontrol sa Deutsche Bank ang halos ang ikatulong bahin sa 1200 ka mga shell company aron mabuhat kini.,crime
17,ilo,Impasimudaag ti pagiwarnak a Briton a The Guardian a kontrolado ti Deutsche Bank ti agarup kakatlo ti 1200 a shell company a nausar tapno maaramid daytoy.,crime
18,ilo,"Adda dagiti protesta iti sangalubongan, sumagmamano a pannakausig kadagiti kriminal, ken agpada a nagikkat dagiti daulo ti gobierno ti Iceland ken Pakistan.",crime
18,fil,"May mga protesta sa buong mundo, maraming paglilitis sa mga kasong krimen, at ang mga lider ng pamahalaan ng Iceland at Pakistan ay kapwa nagbitiw.",crime
18,ceb,"Adunay mga protesta sa tibuok kalibutan, ubay-ubay nga kriminal nga paghusay, ug parehong miluwat sa pag-serbisyo ang mga lider sa gobyerno sa Iceland ug Pakistan.",crime
19,ceb,"Si Ma natawo sa Hong kong, nag-eskuwela sa Unibersidad sa New York ug sa Harvard Law School ug kaniadto adunay ""green card"" isip permanenteng molupyo sa Amerika.",Politics and conflicts
19,fil,"Ipinanganak sa Hong Kong, nag-aral si Ma sa New York University at Harvard Law School at minsang nagkaroon ng ""green card"" ng permanenteng residente ng Amerika.",Politics and conflicts
19,ilo,"Naiyanak idiay Hong Kong, nagadal ni Ma iti New York University ken Harvard Law School ken sigud nga addaan iti ""green card"" kas permanente a residente nga Amerikano.",Politics and conflicts
20,ilo,Impasimudaag ni Hsieh kabayatan ti eleksion a mabalin a pumanaw ni Ma iti pagilian iti panawen ti krisis.,Politics and conflicts
20,fil,Ipinahiwatig ni Hsieh sa kasagsagan ng eleksyon na maaaring umalis ng bansa si Ma sa panahon ng krisis.,Politics and conflicts
20,ceb,Giingon ni Hsieh sa panahon sa eleksyon nga si Ma mahimong molayas sa nasod sa panahon sa krisis.,Politics and conflicts
21,ilo,Inkalintegan pay ni Hsieh a ni Ma ket napintas a kitaen iti retrato ngem estilo laeng ti ad-adda a makita kenkuana imbes a ti pudpudno a maaramidanna.,Politics and conflicts
21,fil,Katuwiran din ni Hsieh na si Ma na maganda sa litrato ay mas magarbo kaysa sa matalino.,Politics and conflicts
21,ceb,Nangatarongan usab ni Hsieh nga ang photogenic nga si Ma kay porma lamang kaysa lihok.,Politics and conflicts
22,ceb,"Bisan pa sa kini nga mga akusasyon, dali ra nadaog si Ma sa plataporma nga nagpasiugda og mas suod nga relasyon sa mainland China.",
22,fil,"Sa kabila na mga akusasyong ito, madaling nanalo si Ma sa isang platapormang nagtataguyod ng mas malapit na relasyon sa pinakakontinente ng Tsina.",
22,ilo,"Iti laksid dagitoy a pammabasol, linaklaka ni Ma ti nangabak iti plataporma a mangiganggannuat iti nadekdekket a pannakikadua iti Mainland China.",
23,ilo,Iti Manangngay-ayam Itatta nga Aldaw ket ni Alex Ovechkun a naggapu iti Washington Capitals.,sports
23,fil,Ang Manlalaro ng Araw para sa araw na ito ay si Alex Ovechkin ng Washington Capitals.,sports
23,ceb,Ang Magduduwa sa Adlaw karong adlawa kay si Alex Ovechkin sa Washington Capitals.,sports
24,ceb,Aduna siyay 2 ka goal ug 2 ka assist sa 5-3 nga daog sa Washington batok sa Atlanta Thrashers.,sports
24,fil,Nakagawa siya ng 2 goal at 2 assist sa panalong 5-3 ng Washington laban sa Atlanta Thrashers.,sports
24,ilo,Addaan isuna iti 2 a goal ken 2 nga assist ti panangabak ti Washington a 5-3 kontra iti Atlanta Thrashers.,sports
25,ilo,Ti umuna a panangasister ni Ovechkin iti dayta a rabii ket isu ti makapangabak a goal ti agdadamo a ni Niklas Backstrom;,sports
25,fil,Ang unang pagtulong ni Ovechkin para sa gabing iyon ay sa gol na nakapagpanalo-ng-laban ng rookie na si Nicklas Backstrom;,sports
25,ceb,Ang unang assist ni Ovechkin sa gabii naa sa pagdaug-sa-dula nga goal sa bag-ohan nga si Nicklas Backstrom;,sports
26,ceb,"ang iyang ikaduhang goal sa gabie mao ang iyang ika-60 sa season, ang naghimo sa iya isip unang magduduwa nga nakapuntos og 60 o labaw pa nga mga goal sa usa ka season sukad 1995-96, sa dihang sila si Jaromir Jagr ug Mario Lemieux tagsa-tagsang nakaabot ato nga milestone.",sports
26,ilo,"ti maikadua a puntosna iti dayta a rabii ket isu ti maika-60-na iti season, a namagbalin kenkuana nga umuna a player a makapuntos iti 60 wenno nasursurok pay iti maysa a season manipud idi 1995-96, idi a da Jaromir Jagr ken Mario Lemieux ket tunggal maysa nakagun-od iti dayta a puntos.",sports
26,fil,"ang kaniyang pangalawang goal sa gabing ito ay ang kaniyang ika-60 ng season, na ginawa siyang unang manlalarong nakaiskor ng 60 o higit pang mga goal sa isang season mula noong 1995-96, nang naabot ng bawa't isa kina Jaromir Jagr at Mario Lemieux ang mahalagang panandang ito.",sports
27,ilo,"Ni Batten ket nairangko ti maika-190 ti listaan ti 400 a Kabaknangan a Amerikano idi 2008 nga addaan ti mapatpatangan a kinabaknangna a $2.3 a bilion,",Television
27,fil,Si Batten ay nairanggo sa ika-190 sa listahan ng 400 Pinakamayamang Amerikano ng 2008 na may humigit-kumulang na $ 2.3 bilyon na kayamanan.,Television
27,ceb,Si Batten naa sa ika-190 nga ranggo sa lista sa 2008 nga 400 Kinadatoang Mga Amerikano nga adunay gibanabana nga bahanding $2.3 bilyon.,Television
28,ceb,Nigradwar siya sa College of Arts & Science sa University of Virginia kaniadtong 1950 ug usa siya ka hinungdanong mi-donar sa mao nga institusyon.,Television
28,fil,Siya ay nagtapos mula sa Collegge of Arts & Sciences ng University of Virginia noong 1950 at naging mahalagang kontribyutor sa institusyong iyon.,Television
28,ilo,Nagturpos isuna iti  College of Arts & Sciences iti Unibersidad ti Virginia idi 1950 ken maysa a nangruna nga agindondonar iti dayta nga institusion.,Television
29,fil,Ang bilangguang Abu Ghraib ng Iraq ay sinunog habang nagaganap ang isang kaguluhan.,crime
29,ilo,Pinuoranda ti pagbaludan ti Abu Ghraib iti Iraq kabayatan ti maysa a panagriribuk.,crime
29,ceb,Nasunog ang prisohan sa Iraq nga Abu Ghraib sa panahon sa rayot.,crime
30,fil,Ang bilangguan ay naging tanyag matapos matuklasan ang pang-aabuso sa preso doon matapos pamahalaan ng puwersa ng Estados Unidos.,crime
30,ilo,Naglatak ti pagbaludan kalpasan a nadiskobre sadiay ti pannakaabuso dagiti  preso kalpasan a sinublat dagiti puersa ti US.,crime
30,ceb,Ang prisohan nahimong bantog human nadiskobrehan ang pag-abusar sa priso didto pagkahuman mipuli ang pwersa sa Estados Unidos.,crime
31,ilo,"Ni Piquet Jr. ket nadungpar idi 2008 Grand Prix ti Singapore kalpasan laeng ti nasapa a panagsardeng ti pit para kenni Fernando Alonso, a nangiruar ti pangtalged a lugan.",crime
31,ceb,"Nabangga si Piquet Jr. sa Singapore Grand Prix niadtong 2008 pagkahuman lang sa sayo nga hununganan para kang Fernando Alonso, nga nagdala sa luwas nga sakyanan.",crime
31,fil,"Si Piquet Jr. ay sumalpok noong 2008 Singapore Grand Prix matapos lamang ng maagang pagtigil sa pit para kay Fernando Alonso, at inilabas ang kotseng pangkaligtasan.",crime
32,fil,"Habang ang mga kotseng nauna kay Alonso ay nagkarga ng gasolina habang may kotseng pangkaligtasan, nanguna siya sa grupo at kinuha ang tagumpay.",crime
32,ilo,"Idi apan dagiti luglugan idiay Alonso tapno agpa-gas bayat ti sidong ti lugan a natalged, pinaakarna dagiti tattao tapno agballigida.",crime
32,ceb,"Samtang ang mga awto sa unahan ni Alonso misulod para magpagasolina sa ilawom sa safety car, gipalihok niya ang pack aron makuha ang kadaugan.",crime
33,ilo,Naribbek ni Piquet Jr. kalpasan ti 2009 Hungarian Grand Prix.,crime
33,ceb,Gipahawa si Picquet Jr. human sa 2009 Hungarian Grand Prix.,crime
33,fil,Si Piquet Jr. ay sinisante matapos ang 2009 Hungarian Grand Prix.,crime
34,ilo,"Iti eksakto nga 8:46 a. m. immulimek ti siudad, a nangimarka iti eksakto a kanito a dinungpar ti umuna a jet ti puntiriana.",accident
34,fil,"Eksaktong 8:46 n.u. ay nabalot sa katahimikan ang siyudad, na naging palatandaan ng eksaktong sandali nang tamaan ng unang jet ang target nito.",accident
34,ceb,"Sa eksakto alas 8:46 sa buntag, ang kahilom nabati sa tibuok lungsod, timaan sa eksaktong takna nga ang unang jet miigo sa iyang unang tumong.",accident
35,ilo,Dua a raniag ti silaw ti naipaturong nga agpangato iti tangatang ti agpatnag,accident
35,ceb,Duha ka mga silaw sa kahayag ang gibutang nga nagpunting sa langit sa tibuok gabii.,accident
35,fil,Dalawang sinag ng liwanag ang ikinabit upang tumutok sa kalangitan magdamag.,accident
36,fil,"Nagpapatuloy ang pagtatayo sa limang bagong pagkatataas na gusali sa lugar, na may sentro ng transportasyon at memoryal na parke sa gitna.",accident
36,ceb,"Nagapadayon ang konstruksyon sa lima ka mga bag-ong tag-as kaayong building sa lugar, nga adunay terminal ug memoryal nga parke sa tunga.",accident
36,ilo,"Madama ti pannakabangon ti lima a baro a nangangato a pasdek iti lugar, nga addaan iti sentro ti pagluganan ken sementerio iti tengnga.",accident
37,ilo,"Ti pabuya a PBS ket addaan ti nasurok a dua a dosena a pammadayaw iti Emmy, ken iti panagtarayna ket naaab-ababa ngem Sesame Stree ken Mister Roger's Neighborhood.",television
37,ceb,"Ang palabas sa PBS adunay labaw pa sa duha ka dosenag mga pasidungog sa Emmy, ug ang dagan niini mas mubo ra kaysa sa Sesame Street ug Mister Roger's Neighborhood.",television
37,fil,"Ang palabas ng PBS ay mayroong mahigit pa sa dalawang dosenang parangal na Emmy, at ang itinagal ng pagpapalabas nito ay mas maikli lamang kaysa sa Kalye Sesame at Kapitbahayan ni Ginoong Rogers.",television
38,fil,Bawat kabanata ng palabas ay nakatuon sa isang tema sa isang tiyak na aklat at pagkatapos ay galugarin ang temang ito sa pamamagitan ng maraming kuwento.,television
38,ilo,Tunggal bennegna daytoy a pabuya ket naipamaysa ti tema idiay espisipiko a libro ken sarakenna dayta a tema babaen ti naduma-duma nga istoria.,television
38,ceb,Kada yugto sa maong programa magsentro sa tema sa usa ka espesipikong libro ug dayon i-eksplor kato nga tema pinaagi sa daghang mga istorya.,television
39,ilo,Kada pabuya ket mangted met iti rekomendasion no ania dagiti libro a masapul a biroken dagiti ubbing no mapanda iti libraria.,television
39,ceb,Ang matag pasundayag mohatag usab og mga rekomendasyon kon unsang mga libro ang dapat pangitaon sa mga bata kon moadto sila sa ilang librarya.,television
39,fil,Bawat palabas ay magbibigay din ng mga rekomendasyon para sa mga aklat na dapat hanapin ng mga bata kung sila'y tumungo sa kanilang silid-aklatan.,television
40,fil,"Sinabi ni John Grant, mula sa WNED Buffalo (ang tahanang istasyon ng Bahaghari ng Pagbabasa) na ""tinuruan ng Bahaghari ng Pagbabasa ang mga bata kung bakit magbabasa,... ang hilig sa pagbabasa ” [ang palabas ay] nanghikayat ng mga bata na kumuha ng libro at magbasa.""",television
40,ceb,"Si John Grant, gikan sa WNED Buffalo (ang punong istasyon sa Reading Rainbow) nag-ingon, ""Ang Reading Rainbow nagtudlo sa mga bata nganong angay magbasa,... ang gana sa pagbasa — [ang pasundayag] nagdasig sa mga bata nga mopunit og libro ug mobasa.""",television
40,ilo,"Kinuna ni John Grant, manipud iti WNED Buffalo (home station ti Reading Rainbow) a ti “Reading Rainbow ket nangisuro kadagiti ubbing no kasano ti agbasa,… ti panagayat iti panagbasa — aw-awisen ti [ti pabuya] dagiti ubbing a mangala ti libro ken agbasa.”",television
41,ilo,"Mamati ti dadduma, agraman ni John Grant, nga iti krisis ti panagpundo ken panagbaliw ti pilosopia ti panagprograma kadagiti pang-edukasion a telebision ket isu iti nakaigapuan ti panangisardengda kadagiti pabuya.",television
41,ceb,"Gituohan sa uban, lakip ni John Grant, nga ang kakulangan sa pondo ug ang pagbalhin sa pilosopiya sa pang-edukasyong programa sa telebisyon ang hinungdan sa pagtapos sa serye.",television
41,fil,"Pinaniniwalaan ng iba, kabilang na si John Grant, na kapwa ang pagbaba sa aktibidad ng pagpapautang at ang pagbabago sa kaisipan ng edukasyonal na programa sa telebisyon ang naging dahilan sa pagtapos ng serye.",television
42,fil,"Ang bagyo, na nasa halos 645 milya (1040 km) sa kanluran ng mga isla ng Cape Verde, ay malamang na mapawi bago makapagbanta sang lupain, sabi ng mga tagataya ng panahon.",disaster
42,ilo,"Ti bagyo, nasarakan iti agarup 645 milya (1040 km) laud dagiti isla ti Cape Verde, ket mabalin a matunaw sakbay a mapeggadanna ti aniaman a lugar ti daga, ibaga dagiti forecaster.",disaster
42,ceb,"Ang bagyo, nga nahimutang mga 645 milya (1040 km) kasadpan sa mga isla sa Cape Verde, lagmit nga mawala sa dili pa kini makahulga sa bisan-asang lugar sa yuta kini sumala sa mga mananagna.",disaster
43,ceb,Si Fred karon kay adunay hangin nga 105 ka milya matag oras (165 km/h) ug nagalihok padulong sa amihanan-kasapdan.,disaster
43,ilo,Ni Fred ket addaan ti angin nga 105 a milia kada oras (165 km/h) ti agdama ken agturturong iti amianan a laud.,disaster
43,fil,Ang Fred ay kasalukuyang nagtataglay ng mga hangin na 105 milya kada oras (165 km/h) at kumikilos patungong hilagang-kanluran.,disaster
44,ilo,"Ni Fred ti kapipigsaan pay laeng a nairekord a tropikal a bagyo iti abagatan ken daya ti Atlantiko sipud pannakaimbento ti satellite imagery, ken daytoy pay laeng ti maikatlo a kangrunaan a bagyo nga adda iti rekord iti daya ti 35˚W.",disaster
44,fil,"Ang Fred ang pinakamalakas na bagyong naitala kailanman sa timog at silangan ng Atlantiko simula ng pagdating ng paglalarawan sa pamamagitan ng satellite, at tanging pangatlong malaking bagyo na naitala sa silangan ng 35Â°W.",disaster
44,ceb,"Si Fred ang pinakakusog nga tropikong bagyo nga natala sa layong habagatan ug sidlakan sa Atlantiko hangtod karon sukad sa pagsugod sa larawang satelayt, ug ikatulo lamang kinalabwang bagyo nga natala sidlakan sa 35Â°W.",disaster
45,ilo,"Idi Setiembre 24, 1759, nagpirma ni Arthur Guinness ti 9,000 a tawen a panangabang ti St James' Gate Brewery idiay Dublin, Ireland.",culture
45,ceb,"Niadtong Septiyembre 24, 1759, mipirma si Arthur Guinness sa 9,000 ka tuig nga abang alang sa St James' Gate Brewery sa Dublin, Ireland.",culture
45,fil,"Noong Setyembre 24, 1759, pumirma si Arthur Guinness ng 9,000 taong gulang na upahan para sa St James' Gate Brewery sa Dublin, Ireland.",culture
46,fil,"250 taon ang lumipas, lumaki na ang Guinness bilang isang pandaigdigang negosyo na kumikita ng mahigit 10 bilyong euro (US$14.7 bilyon) taon-taon.",culture
46,ceb,"250 ka tuig ang milabay, nahimong usa ka global nga negosyo ang Guinness nga nakahalin og 10 bilyones nga euro (US$14.7 bilyones) kada tuig.",culture
46,ilo,"Kalpasan ti 250 a tawen, ti Guiness ket dimmakkel ken nagbalin a sangalubungan a negosio a kumitkita ti nasurok a 10 bilion nga euro (US$14.7 bilyon) kada tawen.",culture
47,ilo,"Ni Jonny Reid, kadua nga agmanmaneho para iti grupo nga A1GP New Zealand, ti nangaramid iti pakasaritaan ita nga aldaw babaen ti kapardasan a panagmanehona a legal iti 48 ti tawenna a Rangtay ti Auckland Harbor iti New Zealand.",Sports
47,ceb,"Nakabuhat karon og kasaysayan si Jonny Reid, ang kauban nga driver sa A1GP New Zealand nga team, tungod sa ligal nga pagmaneho sa labing paspas sa ibabaw sa 48-anyos nga Auckland Harbor Bridge, New Zealand.",Sports
47,fil,"Si Jonny Reid, kasamang tagapagmaneho para sa koponan ng A1GP New Zealand, ay gumawa ng kasaysayan ngayong araw sa pamamagitan ng pagmamaneho nang pinakamabilis sa ibabaw ng 48-taong gulang na Tulay sa Daungan ng Auckland, New Zealand, nang ligal.",Sports
48,ilo,"Naiturong ni Mr Reid ti kotse ti New Zealand nga A1GP, a Black Beauty ti kapaspas a sumurok 160km/h a maminpito iti rangtay.",Sports
48,fil,"Nakayanang imaneho ni G. Reid ang sasakyang A1 GP ng New Zealand, ang Black Beauty, sa bilis na lampas sa 160km/h nang pitong ulit sa ibabaw ng tulay.",Sports
48,ceb,"Nahimo ni Mr. Reid nga padaganon ang A1GP nga sakyanan sa New Zealand nga Black Beauty, sa kapaspason nga lapas sa 160 km/h sa ikapito ka beses sa taytayan.",Sports
49,ceb,"Naglisod ang pulisya sa New Zealand sa paggamit sa ilang mga speed radar gun aron makita kon unsa katulin ang pagmaneho ni Mr Reid tungod sa kamubo sa Itom nga Katahum, ug ang bugtong higayon nga naorasan sa pulisya si G. Reid katong naghinay siya sa 160km/h.",Sports
49,fil,"Nagkaroon ng problema ang pulisya ng New Zealand sa paggamit sa kanilang mga baril na radar na panukat ng tulin upang tingnan kung gaano kabilis ang takbo ni Mr Reid dahil sa pagiging mababa ng Kagandahang Itim, at ang tanging pagkakataon na nagawang sukatin ng pulisya ang tulin ni Mr Reid ay noong bumagal ito hanggang 160 km/h.",Sports
49,ilo,"Iti polis ti New Zealand ket addaan ti yengyengna ti panagusarda ti paltog a speed radar tapno makita no kasano ti kinapartak ni Mr Reid gapu ta kasta kababa ti Black Beauty, ken ti kanito a naorasan ti pulis ni Mr Reid ket idi bimmuntog isuna ti 160km/h.",Sports
50,fil,"Sa huling 3 buwan, mahigit sa 80 taong naaresto ang pinalaya mula sa pasilidad ng Himpilan ng Pulisya nang hindi pormal na kinakasuhan.",Crime and Law
50,ceb,"Sa milabay nga 3 ka bulan, kapin sa 80 nga dinakpan ang gipagawas gikan sa pasilidad sa Central Booking nga walay pormal nga gipasakang sumbong.",Crime and Law
50,ilo,"Iti naglabas a 3 a bulan, nasurok 80 a naarestar ti napalubusan a rumwar ti pasilidad ti Central Booking a saan a nakaswan.",Crime and Law
51,ilo,"Ti Abril daytoy a tawen, maysa a temporary restraining order ti inted ni Judge Glynn laban ti pasilidad a mangpatungpal ti pannakabulos dagiti nakemmeg ti napalabas ti 24 nga oras kalpasan nga iti pannakaunegda ket saan a nakaawat ti pannnakangngeg ti mangidaulo ti korte.",Crime and Law
